ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
NATI,National Instruments Corporatio ,Technology,Technical & System Software,27.31,27.26,28.5646,29.7449
NEOG,Neogen Corporation ,Healthcare,Diagnostic Substances,41.78,42.247,43.9054,50.5033
NEWL,NewLead Holdings Ltd. ,Services,Shipping,0.11,0.178,1.315,0.8504
NFO,Guggenheim Insider Sentiment ETF,US Equity ETF,,46.97,47.014,47.2602,45.0017
NJR,NewJersey Resources Corporation ,Utilities,Gas Utilities,49.73,49.185,47.6308,45.4535
NOC,Northrop Grumman Corporation Co ,Industrial Goods,Aerospace/Defense - Major Diversified,121.51,120.551,121.199,108.242
NOK,Nokia Corporation Sponsored Ame ,Technology,Communication Equipment,7.5,7.337,7.4848,6.76335
NOW,ServiceNow Inc. Common ,Technology,Information Technology Services,49.72,51.042,60.2284,54.2508
NPD,China Nepstar Chain Drugstore L ,Services,Drug Stores,2.53,2.343,2.5908,2.00325
OBCI,Ocean Bio-Chem Inc. ,Consumer Goods,Cleaning Products,2.76,2.759,2.948,2.68735
OEH,Orient-Express Hotels Ltd. Comm ,Services,Lodging,13.1,13.04,14.0064,13.8195
OFG,Oriental Financial Group Inc.  ,Financial,Money Center Banks,17.06,16.777,16.716,16.6525
OKS,ONEOK Partners L.P. Common Sto ,Basic Materials,Oil & Gas Pipelines,56.99,56.488,54.5174,52.6425
OMEX,Odyssey Marine Exploration Inc ,Services,Research Services,2.19,2.122,2.2142,2.4675
OPXA,Opexa Therapeutics Inc. ,Healthcare,Biotechnology,1.6,1.566,1.7656,1.78505
ORAN,Orange ,Technology,Telecom Services - Foreign,16.1,15.209,14.2018,12.3733
PAGG,PowerShares Global Agriculture Portfolio ETF,Global Equity ETF,,30.83,30.512,30.0794,29.2603
PBI,Pitney Bowes Inc. Common ,Consumer Goods,Business Equipment,26.8,25.421,25.5644,21.5772
PBS,PowerShares Dynamic Media ETF,US Equity ETF,,23.81,24.015,25.1424,24.2873
PBT,Permian Basin Royalty Trust Com ,Basic Materials,Independent Oil & Gas,13.41,13.303,13.1806,13.573
PCM, PCM Fund  Inc. Common ,N/A,N/A,12.12,12.044,12.1206,11.6474
PDS,Precision Drilling Corporation  ,Basic Materials,Oil & Gas Equipment & Services,13,12.747,11.5894,10.2393
PES, Pioneer Energy Services Corp. C ,Basic Materials,Oil & Gas Drilling & Exploration,14.97,14.013,12.451,8.9035
PETS,PetMed Express Inc. ,Healthcare,Drug Delivery,13.09,13.045,13.3106,14.9178
