AAME,Atlantic American Corporation 
TGTX,TG Therapeutics Inc. 
TGLS,Tecnoglass Inc. 
SXE,Southcross Energy Partners L.P. 
SOHO,Sotherly Hotels Inc. 
SGM,Stonegate Mortgage Corporation 
SAMG,Silvercrest Asset Management Group Inc. 
PME,Pingtan Marine Enterprise Ltd. 
PBYI,Puma Biotechnology Inc. 
OHRP,Ohr Pharmaceutical Inc. 
LGIH,LGI Homes Inc. 
LDRH,LDR Holding Corporation 
HCAP,Harvest Capital Credit Corporation 
HGSH,China HGS Real Estate Inc. 
FUEL,Rocket Fuel Inc. 
CPXX,Celator Pharmaceuticals Inc. 
CORR,CorEnergy Infrastructure Trust Inc. 
CHMI,Cherry Hill Mortgage Investment Corporation 
CGIX,Cancer Genetics Inc. 
AMBC,Ambac Financial Group Inc. 
WWAV,The WhiteWave Foods Company 
XON,Intrexon Corporation 
XONE,The ExOne Company 
YY,YY Inc. 
ALQA,Alliqua Inc. 
BRG,Bluerock Residential Growth REIT  Inc. 
CORI,Corium International Inc. 
CSLT,Castlight Health Inc. 
EGLT,Egalet Ltd. 
EMES,Emerge Energy Services LP 
FIVN,Five9 Inc. 
FSIC,FS Investment Corporation Commo 
HEAR,Parametric Sound Corporation 
MRCC,Monroe Capital Corporation 
NYRT,New York REIT Inc. 
REPH,Recro Pharma Inc. 
RXDX,Ignyta Inc. 
SZMK,Sizmek Inc. 
XXII,22nd Century Group Inc. 
CFRX,ContraFect Corporation
DERM,Dermira Inc.
EPRS,EPIRUS Biopharmaceuticals Inc.
FMSA,FMSA Holdings Inc. Common
FOMX,Foamix Pharmaceuticals Ltd.
FWP,Forward Pharma A/S
IMDZ,Immune Design Corp.
MRD,Memorial Resource Development C
MRKT,Markit Ltd.
NAME,Rightside Group Ltd.
NEWR,New Relic Inc. Common
NSAM,NorthStar Asset Management Grou
OCUL,Ocular Therapeutix Inc.
RCPI,Rock Creek Pharmaceuticals Inc
TKAI,Tokai Pharmaceuticals Inc.
TSQ,Townsquare Media Inc. Class A 
VBLT,Vascular Biogenics Ltd.
VEC,Vectrus Inc. Common
VRTV,Veritiv Corporation Common Stoc
VTAE,Vitae Pharmaceuticals Inc.
VTTI,VTTI Energy Partners LP Common 
WGBS,WaferGen Bio-systems Inc.
XENE,Xenon Pharmaceuticals Inc.
CALA,Calithera Biosciences Inc.
ATTO,Atento S.A. Ordinary Shares
ARDM,Aradigm Corporation
ADMA,ADMA Biologics Inc
RRM,RR Media Ltd.
GSBD,Goldman Sachs BDC Inc.
CAPR,CAPRICOR THERAP
BLPH,Bellerophon Therapeutics LLC
VUZI,VUZIX CORP CMN STK
ZAIS,ZAIS Group Holdings Inc.
RKDA,Arcadia Biosciences  Inc.
RELY,Real Industry  Inc.
NTRA,Natera  Inc.
MJCO,Majesco
FOGO,Fogo de Chao  Inc.
FBIO,Fortress Biotech  Inc.
ERN,Erin Energy Corporation
COLL,Collegium Pharmaceutical  Inc.
BW,Babcock & Wilcox Enterprises  Inc.
BUFF,Blue Buffalo Pet Products  Inc.
ALRM,Alarm.com Holdings  Inc. 
TDOC,Teladoc  Inc.
TLN,Talen Energy Corporation
PLNT,Planet Fitness
AGFS,AgroFresh Solutions  Inc.
EVRI,Everi Holdings Inc.
NXRT,NexPoint Residential Trust  Inc. 
TTNP,Titan Pharmaceuticals Inc.
