ABAX,ABAXIS Inc. 
SHW,Sherwin-Williams Company (The)  
SIVB,SVB Financial Group 
SMCI,Super Micro Computer Inc. 
SMMF,Summit Financial Group Inc. 
SPB,Spectrum Brands Holdings Inc.  
SRDX,SurModics Inc. 
STBA,S&T Bancorp Inc. 
STRT,Strattec Security Corporation 
SVBI,Severn Bancorp Inc 
SWFT,Swift Transportation Company Cl 
SWK,Stanley Black & Decker Inc. Co 
SYBT,S.Y. Bancorp Inc. 
SYNA,Synaptics Incorporated 
TBNK,Territorial Bancorp Inc. 
TCBK,TriCo Bancshares 
TFSL,TFS Financial Corporation 
TPL,Texas Pacific Land Trust Common 
TROW,T. Rowe Price Group Inc. 
UBCP,United Bancorp Inc. 
UBSI,United Bankshares Inc. 
UIS,Unisys Corporation New Common S 
USLM,United States Lime & Minerals  
VASC,Vascular Solutions Inc. 
VMW,Vmware Inc. Common stock Clas 
WAL,Western Alliance Bancorporation 
WCC,WESCO International Inc. Commo 
WHR,Whirlpool Corporation Common St 
WRLD,World Acceptance Corporation 
WSFS,WSFS Financial Corporation 
WTBA,West Bancorporation 
WYNN,Wynn Resorts Limited 
XLNX,Xilinx Inc. 
CBF, Capital Bank Financial Corp. 
CIZN, Citizens Holding Company 
CUNB, CU Bancorp (CA) 
FSBK, First South Bancorp Inc 
HAR, Harman International Industries 
HFWA, Heritage Financial Corporation 
HGG, HHGregg  Inc. Common 
HP, Helmerich & Payne  Inc. Common  
HRG, Harbinger Group Inc Common Stoc 
HTBK, Heritage Commerce Corp 
HTH, Hilltop Holdings Inc. 
HTLD, Heartland Express  Inc. 
IBCP, Independent Bank Corporation 
IBKC, IBERIABANK Corporation 
INVN, InvenSense  Inc. Common 
LCNB, LCNB Corporation 
MTSI, M/A-COM Technology Solutions Ho 
NBHC, National Bank Holdings Corporat 
PFPT, Proofpoint  Inc. 
RM, Regional Management Corp. Commo 
STBZ, State Bank Financial Corporatio 
SXC, SunCoke Energy  Inc. Common Sto 
UNTY, Unity Bancorp  Inc. 
WEBK, Wellesley Bancorp  Inc. 
SXCP,Suncoke Energy Partners L.P. 
HMNF,HMN Financial Inc. 
FSBW,FS Bancorp Inc. 
ESXB,Community Bankers Trust Corporation 
CUBI,Customers Bancorp Inc. 
CNOB,ConnectOne Bancorp Inc. 
CHMG,Chemung Financial Corporation 
YDKN,Yadkin Financial Corporation 
MDWD,MediWound Ltd. 
FMBH,First Mid-Illinois Bancshares
GNBC,Green Bancorp Inc.
GWB,Great Western Bancorp Inc. Com
ISTR,Investar Holding Corporation
MBCN,Middlefield Banc Corp.
BHBK,Blue Hills Bancorp Inc.
PYPL,PayPal Holdings  Inc.
EQBK,Equity Bancshares  Inc.
MSBI,Midland States Bancorp  Inc.
SCNB,Suffolk Bancorp
FBK,FB Financial Corporation 
