ACFC,Atlantic Coast Federal Corporat 
EVR,Evercore Partners Inc Class A C 
EXR,Extra Space Storage Inc Common  
FBNC,First Bancorp 
FCF,First Commonwealth Financial Co 
FCNCA,First Citizens BancShares Inc. 
FDML,Federal-Mogul Corporation 
FFNW,First Financial Northwest Inc. 
FISV,Fiserv Inc. 
FLIR,FLIR Systems Inc. 
FORR,Forrester Research Inc. 
FSP,Franklin Street Properties Corp 
GLRE,Greenlight Reinsurance Ltd. 
GNRC,Generac Holdlings Inc. Common S 
GRA,W.R. Grace & Co. Common 
GRMN,Garmin Ltd. 
GRPN,Groupon Inc. 
INFN,Infinera Corporation 
IR,Ingersoll-Rand plc (Ireland) 
ISIG,Insignia Systems Inc. 
JBT,John Bean Technologies Corporat 
KNX,Knight Transportation Inc. Com 
KO,Coca-Cola Company (The) Common  
KRA,Kraton Performance Polymers In 
KRC,Kilroy Realty Corporation Commo 
KWR,Quaker Chemical Corporation Com 
LEA,Lear Corporation Common 
LH,Laboratory Corporation of Ameri 
LLNW,Limelight Networks Inc. 
LMAT,LeMaitre Vascular Inc. 
LRN,K12 Inc Common 
LUV,Southwest Airlines Company Comm 
LXK,Lexmark International Inc. Com 
MDCA,MDC Partners Inc. 
MDCO,The Medicines Company 
MKTX,MarketAxess Holdings Inc. 
MMLP,Martin Midstream Partners L.P. 
MMSI,Merit Medical Systems Inc. 
MMYT,MakeMyTrip Limited 
MPB,Mid Penn Bancorp 
MPX,Marine Products Corporation Com 
MSL,MidSouth Bancorp Common 
MUR,Murphy Oil Corporation Common S 
NCIT,NCI Inc. 
NDAQ,The NASDAQ OMX Group Inc. 
NEU,NewMarket Corp Common 
NFBK,Northfield Bancorp Inc. 
NOC,Northrop Grumman Corporation Co 
NRIM,Northrim BanCorp Inc 
NSC,Norfolk Southern Corporation Co 
NTGR,NETGEAR Inc. 
NTRI,NutriSystem Inc 
NXPI,NXP Semiconductors N.V. 
O,Realty Income Corporation Commo 
OC,Owens Corning Inc Common 
OCFC,OceanFirst Financial Corp. 
OCN,Ocwen Financial Corporation NEW 
ORIT,Oritani Financial Corp. 
OVBC,Ohio Valley Banc Corp. 
PAG,Penske Automotive Group Inc. C 
PCBK,Pacific Continental Corporation 
PFBX,Peoples Financial Corporation 
PLXS,Plexus Corp. 
PMD,Psychemedics Corporation 
PPC,Pilgrim's Pride Corporation Com 
PRXL,PAREXEL International Corporati 
PSA,Public Storage Common 
PTSI,P.A.M. Transportation Services 
QEP,QEP Resources Inc. Common Stoc 
RES,RPC Inc. Common 
RGA,Reinsurance Group of America I 
RHI,Robert Half International Inc.  
ROG,Rogers Corporation Common 
ROL,Rollins Inc. Common 
ROYL,Royale Energy Inc. 
RUSHA,Rush Enterprises Inc. 
SAIA,Saia Inc. 
SBCF,Seacoast Banking Corporation of 
SCCO,Southern Copper Corporation Com 
SCI,Service Corporation Internation 
SFLY,Shutterfly Inc. 
SGI,Silicon Graphics International  
SGMO,Sangamo BioSciences Inc. 
SHLM,A. Schulman Inc. 
SIFI,SI Financial Group Inc. 
SIGI,Selective Insurance Group Inc. 
SJW,SJW Corporation Common 
SLAB,Silicon Laboratories Inc. 
SLGN,Silgan Holdings Inc. 
SMSI,Smith Micro Software Inc. 
SMTX,SMTC Corporation 
SONS,Sonus Networks Inc. 
SPG,Simon Property Group Inc. Comm 
SPRT,support.com Inc. 
STND,Standard Financial Corp. 
STRA,Strayer Education Inc. 
SYBT,S.Y. Bancorp Inc. 
TER,Teradyne Inc. Common 
THFF,First Financial Corporation Ind 
TIS,Orchids Paper Products Company  
TORM,TOR Minerals International Inc 
TR,Tootsie Roll Industries Inc. C 
TRK,Speedway Motorsports Inc. Comm 
TRN,Trinity Industries Inc. Common 
TSLA,Tesla Motors Inc. 
TTMI,TTM Technologies Inc. 
TXN,Texas Instruments Incorporated 
TYL,Tyler Technologies Inc. Common 
UCBI,United Community Banks Inc. 
UCTT,Ultra Clean Holdings Inc. 
UFI,Unifi Inc. New Common 
UHS,Universal Health Services Inc. 
UHT,Universal Health Realty Income  
UMBF,UMB Financial Corporation 
UNM,Unum Group Common 
USLM,United States Lime & Minerals  
UVSP,Univest Corporation of Pennsylv 
VG,Vonage Holdings Corp. Common St 
VLY,Valley National Bancorp Common  
VMW,Vmware Inc. Common stock Clas 
VSEC,VSE Corporation 
WDC,Western Digital Corporation 
WFD,Westfield Financial Inc. 
WHG,Westwood Holdings Group Inc Com 
WIRE,Encore Wire Corporation 
WLL,Whiting Petroleum Corporation C 
WM,Waste Management Inc. Common S 
WOOF,VCA Antech Inc. 
WYN,Wyndham Worldwide Corp Common   
XRAY,DENTSPLY International Inc. 
CG, The Carlyle Group L.P. 
GTY, Getty Realty Corporation Common 
HBAN, Huntington Bancshares Incorpora 
HES, Hess Corporation Common 
HLIT, Harmonic Inc. 
HTBK, Heritage Commerce Corp 
HUBG, Hub Group  Inc. 
HWKN, Hawkins  Inc. 
IBKC, IBERIABANK Corporation 
MDLZ, Mondelez International  Inc. 
MN, Manning & Napier  Inc. Class A  
PB, Prosperity Bancshares  Inc. Com 
PNBK, Patriot National Bancorp Inc. 
SPWR, SunPower Corporation 
STT, State Street Corporation Common 
TTP, Tortoise Pipeline & Energy Fund 
VNTV, Vantiv  Inc. Class A Common Sto 
TILE,Interface Inc. 
PTC,PTC Inc. 
PCMI,PCM Inc. 
NYCB,New York Community Bancorp Inc. 
LARK,Landmark Bancorp Inc. 
KODK,Eastman Kodak Co. 
HBP,Huttig Building Products Inc. 
HLT,Hilton Worldwide Holdings Inc. 
FSBW,FS Bancorp Inc. 
CUBI,Customers Bancorp Inc. 
AR,Antero Resources Corporation 
EPE,EP Energy Corporation 
GRUB,GrubHub Inc. 
IBP,Installed Building Products Inc. 
LQ,La Quinta Holdings Inc. 
MC,Moelis 
MDWD,MediWound Ltd. 
SC,Santander Consumer USA Holdings Inc. 
CMPR,Cimpress N.V
CNV,Cnova N.V.
ICD,Independence Contract Drilling
NAP,Navios Maritime Midstream Partn
SBCP,Sunshine Bancorp Inc.
SGBK,Stonegate Bank
SPOK,Spok Holdings Inc.
TBK,Triumph Bancorp Inc.
BHBK,Blue Hills Bancorp Inc.
FNWB,First Northwest Bancorp
MJCO,Majesco
MB,MINDBODY  Inc.
ESND,Essendant Inc.
BLD,TopBuild Corp.
VDTH,Videocon d2h Limited
PLNT,Planet Fitness
CAA,CalAtlantic Group  Inc.
LOB,Live Oak Bancshares  Inc.
SCNB,Suffolk Bancorp
