ADES,ADA-ES Inc. 
HRTG,Heritage Insurance Holdings In
LBRDA,Liberty Broadband Corporation
MOMO,Momo Inc.
NAME,Rightside Group Ltd.
NAO,Nordic Amern Offshore Ltd Ordin
NSAM,NorthStar Asset Management Grou
QVCA,Liberty Interactive Corporation
SIEN,Sientra Inc.
TBPH,Theravance Biopharma Inc.
TSQ,Townsquare Media Inc. Class A 
VEC,Vectrus Inc. Common
VSLR,Vivint Solar Inc. Common
VTTI,VTTI Energy Partners LP Common 
W,Wayfair Inc. Class A Common Sto
WGBS,WaferGen Bio-systems Inc.
WLKP,Westlake Chemical Partners LP C
ZAYO,Zayo Group Holdings Inc. Commo
ZFGN,Zafgen Inc.
BLCM,Bellicum Pharmaceuticals Inc.
AMTX,Aemetis Inc
AMPH,Amphastar Pharmaceuticals Inc.
ADMA,ADMA Biologics Inc
ITEK,Inotek Pharmaceuticals Corporation
DEA,Easterly Government Properties
TCON,TRACON Pharmaceuticals Inc.
ZSAN,Zosano Pharma Corporation
MCRB,Seres Therapeutics  Inc.
FBIO,Fortress Biotech  Inc.
ERN,Erin Energy Corporation
CVRS,Corindus Vascular Robotics Inc.
CLCD,CoLucid Pharmaceuticals  Inc.
CGNT,Cogentix Medical  Inc.
TBRA,Tobira Therapeutics  Inc.
MPSX,Multi Packaging Solutions International Limited
PFGC,Performance Food Group Company
PXS,Pyxis Tankers Inc.
SAUC,Diversified Restaurant Holdings  Inc.
EIGR,Eiger BioPharmaceuticals  Inc.
FH,FORM Holdings Corp.
SHSP,SharpSpring  Inc.
HRI,HERC Holdings  Inc.
USFD,US Foods Holding Corp.
ATMR,Atomera Incorporated
