AAME,Atlantic American Corporation 
ESMC, Escalon Medical Corp. 
ESTE, Earthstone Energy  Inc. Common  
ETAK, Elephant Talk Communications  I 
GEVO, Gevo  Inc. 
HBIO, Harvard Bioscience  Inc. 
HIMX, Himax Technologies  Inc. 
HMPR, Hampton Roads Bankshares Inc 
HPJ, Hong Kong Highpower Technology 
IEC, IEC Electronics Corp. Common St 
MNGA, MagneGas Corporation 
ORIG, Ocean Rig UDW Inc. 
SGRP, SPAR Group  Inc. 
SPHS,Sophiris Bio Inc. 
SAEX,SAExploration Holdings Inc. 
RVLT,Revolution Lighting Technologies Inc. 
RMGN,RMG Networks Holding Corporation 
RIBT,RiceBran Technologies 
QBAK,Qualstar Corp. 
ONTX,Onconova Therapeutics Inc. 
MBII,Marrone Bio Innovations Inc. 
LXFT,Luxoft Holding Inc. 
JTPY,JetPay Corporation 
HTBX,Heat Biologics Inc. 
ICLD,InterCloud Systems Inc. 
IMMY,Imprimis Pharmaceuticals Inc. 
IPDN,Professional Diversity Network LLC 
IPWR,Ideal Power Inc. 
DLNG,Dynagas LNG Partners LP 
CSTM,Constellium N.V 
BDR,Blonder Tongue Laboratories Inc. 
AXDX,Accelerate Diagnostics Inc. 
VJET,Voxeljet AG 
VTNR,Vertex Energy Inc. 
YY,YY Inc. 
AKER,Akers Biosciences Inc. 
AMDA,Amedica Corporation 
BLFS,BioLife Solutions Inc. 
CELP,Cypress Energy Partners L.P. 
DPRX,Dipexium Pharmaceuticals LLC 
FLXN,Flexion Therapeutics Inc. 
NSEC,National Security Group Inc. 
NVFY,Nova Lifestyle Inc. 
PIH,1347 Property Insurance Holdings Inc. 
REPH,Recro Pharma Inc. 
RGSE,Real Goods Solar Inc. 
RXII,RXi Pharmaceuticals Corporation 
SYRX,Sysorex Global Holdings Corp. 
EPRS,EPIRUS Biopharmaceuticals Inc.
FNJN,Finjan Holdings Inc.
FWP,Forward Pharma A/S
GBIM,GlobeImmune Inc.
HSGX,Histogenics Corporation
JYNT,The Joint Corp.
MARA,Marathon Patent Group Inc.
MDLY,Medley Management Inc. Class A
NAO,Nordic Amern Offshore Ltd Ordin
NEOT,Neothetics Inc.
OXBR,Oxbridge Re Holdings Limited
RCPI,Rock Creek Pharmaceuticals Inc
SAJA,Sajan Inc.
SGNL,Signal Genetics Inc.
TBIO,Transgenomic Inc.
UPLD,Upland Software Inc.
VCEL,Vericel Corporation
BCLI,Brainstorm Cell Therapeutics In
ANY,Sphere 3D Corp
AMTX,Aemetis Inc
ADMA,ADMA Biologics Inc
SHAK,Shake Shack Inc. Class A Commo
PRSN,Perseon Corporation
PN,Patriot National Inc. Common S
NVET,Nexvet Biopharma Public Limited Company
CAPR,CAPRICOR THERAP
VSTO,Vista Outdoor Inc. Common
VUZI,VUZIX CORP CMN STK
ZSAN,Zosano Pharma Corporation
PRTY,Party City Holdco Inc.
MLSS,Milestone Scientific Inc.
KMPH,KemPharm  Inc.
HTGM,HTG Molecular Diagnostics  Inc.
EVH,Evolent Health  Inc.
ESES,Eco-Stim Energy Solutions  Inc.
CSAL,Communications Sales & Leasing  Inc.
CRBP,Corbus Pharmaceuticals Holdings  Inc.
CFMS,ConforMIS Inc 
CATB,Catabasis Pharmaceuticals  Inc.
SPNE,SeaSpine Holdings Corporation
UFAB,Unique Fabricating  Inc.
RUN,Sunrun
APHB,AmpliPhi Biosciences Corporation
CETC,Hongli Clean Energy Technologies Corp.
MPSX,Multi Packaging Solutions International Limited
VYGR,Voyager Therapeutics  Inc.
XCOM,Xtera Communications  Inc.
