SPY
price_date, close_price, bollidiff,rsi_14, dma_20,dma_20_sd,perb,dma_20_top, dma_20_bottom
2015-08-28,199.24,45.4122,28.9357872009277,204.593,7.23395,0.315004278646331,9.11489677429199,-19.8208904266357
2015-08-27,199.16,45.2712,28.5507011413574,205.154,7.13768,0.290075216500465,8.28185081481934,-20.2688503265381
2015-08-26,194.68,36.7921,28.0757617950439,205.736,7.01894,0.106190443678355,2.98137760162354,-25.0943841934204
2015-08-25,187.23,16.9153,26.3168811798096,206.541,6.57922,-0.233787735208052,-6.15256404876709,-32.4694452285767
2015-08-24,189.55,18.6073,19.8590965270996,207.645,4.96477,-0.411169407732662,-8.16545295715332,-28.0245494842529
2015-08-21,197.63,27.505,11.6415100097656,208.505,2.91038,-0.434113912270722,-5.05374145507812,-16.6952514648438
2015-08-20,203.97,42.2121,6.44983243942261,209.02,1.61246,-0.282966549780616,-1.82508683204651,-8.27491927146912
2015-08-19,208.28,42.2121,4.72438478469849,209.329,1.1811,0.278064713563207,1.31368470191956,-3.41070008277893
2015-08-18,209.93,47.9676,5.07242679595947,209.479,1.26811,0.588909862610633,2.98720216751099,-2.08522462844849
2015-08-17,210.59,50.5264,5.61800146102905,209.57,1.4045,0.68155727098815,3.8289897441864,-1.78901171684265
2015-08-14,209.36,50.5264,6.41096591949463,209.672,1.60274,0.451410102218186,2.89397478103638,-3.51699113845825
2015-08-13,208.7,48.1411,7.15135145187378,209.827,1.78784,0.342407563248497,2.4486768245697,-4.70267462730408
2015-08-12,208.83,48.5694,7.68597793579102,210.006,1.92149,0.347058292176076,2.66748237609863,-5.01849555969238
2015-08-11,208.66,48.0077,7.77996063232422,210.096,1.94499,0.315487357009419,2.4544792175293,-5.32548141479492
2015-08-10,210.63,54.4008,7.8587327003479,210.199,1.96468,0.554907491112318,4.36086964607239,-3.49786305427551
2015-08-07,207.92,45.0541,7.90193557739258,210.155,1.97548,0.217157829437904,1.71596717834473,-6.18596839904785
2015-08-06,208.35,46.4571,7.72882509231567,210.133,1.93221,0.269306527103861,2.08142304420471,-5.64740204811096
2015-08-05,210.1,52.6537,8.42768955230713,209.956,2.10692,0.517145948664224,4.35834550857544,-4.06934404373169
2015-08-04,209.32,49.8873,9.43168926239014,209.677,2.35792,0.462149449692983,4.35885000228882,-5.07283926010132
2015-08-03,209.73,51.3518,9.51538753509521,209.611,2.37885,0.512453487093649,4.87619352340698,-4.63919401168823
2015-07-31,210.45,53.9336,9.84183692932129,209.458,2.46046,0.600743475187875,5.91241931915283,-3.92941761016846
2015-07-30,210.82,55.2594,10.0186710357666,209.302,2.50467,0.651517637985565,6.52734088897705,-3.49133014678955
2015-07-29,210.77,55.1209,10.1208829879761,209.139,2.53022,0.66110337653233,6.6909499168396,-3.42993307113647
2015-07-28,209.31,51.0111,10.6673717498779,208.895,2.66684,0.538857275681571,5.74819087982178,-4.91918087005615
2015-07-27,206.74,42.3876,11.4927597045898,208.704,2.87319,0.329153221068536,3.78287887573242,-7.70988082885742
2015-07-24,207.94,45.89,11.3737955093384,208.861,2.84345,0.418981000711957,4.76540422439575,-6.60839128494263
2015-07-23,210.14,53.4018,11.3668050765991,208.956,2.8417,0.604163459241701,6.86740827560425,-4.49939680099487
2015-07-22,211.29,58.011,11.3197183609009,208.975,2.82993,0.704553739663181,7.97534990310669,-3.34436845779419
2015-07-21,211.75,59.9323,11.1779527664185,209.012,2.79449,0.744902005667979,8.32647943496704,-2.85147333145142
2015-07-20,212.62,59.9323,10.9491834640503,209.02,2.7373,0.828836793774368,9.07508611679077,-1.87409734725952
2015-07-17,212.47,59.5557,10.4699735641479,208.913,2.61749,0.839685986226066,8.79149007797241,-1.67848348617554
2015-07-16,212.27,59.0795,10.0895891189575,208.926,2.5224,0.831480067347839,8.38929224014282,-1.7002968788147
2015-07-15,210.63,55.0493,9.6437349319458,208.842,2.41093,0.685456976723833,6.61036539077759,-3.03336954116821
2015-07-14,210.72,55.3269,9.54380416870117,208.822,2.38595,0.6988207930848,6.66940879821777,-2.8743953704834
2015-07-13,209.76,52.9776,9.59341430664062,208.742,2.39835,0.606165919639136,5.81520080566406,-3.77821350097656
2015-07-10,207.48,46.8087,9.64698219299316,208.75,2.41175,0.368352169926946,3.55348682403564,-6.09349536895752
2015-07-09,204.8,37.9192,9.58014488220215,208.958,2.39504,0.0659258713594432,0.631579399108887,-8.94856548309326
2015-07-08,204.53,36.9332,8.84122943878174,209.266,2.21031,-0.0357282043720318,-0.315881252288818,-9.15711069107056
2015-07-07,208.01,45.6015,8.20760440826416,209.462,2.0519,0.323030044164174,2.65130281448364,-5.55630159378052
2015-07-06,206.67,40.6182,8.57304000854492,209.483,2.14326,0.171877940936321,1.4735164642334,-7.09952354431152
