price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-08-23,33.92,34.043,33.3106,30.7498,33.9973,33.7551,0.242161,0.262207,7.64531916683147,8.27821513523732
2012-08-22,34.18,34.033,33.2598,30.7051,34.0113,33.7419,0.269333,0.267219,-0.790919873594683,-0.784713419211376
2012-08-21,34.38,33.997,33.1982,30.659,33.9806,33.7069,0.27367,0.266691,-2.61704045455754,-2.55029812101866
2012-08-20,34.07,33.933,33.1264,30.614,33.908,33.6531,0.254906,0.264946,3.7895693789269,3.93883423498249
2012-08-17,34.03,33.904,33.0696,30.5681,33.8785,33.6197,0.25882,0.267456,3.22909755754577,3.33684762262705
2012-08-16,34.13,33.913,33.0086,30.5191,33.851,33.5869,0.26408,0.269615,2.05298346318609,2.09601428994467
2012-08-15,33.97,33.812,32.9414,30.4753,33.8003,33.5435,0.256744,0.270999,5.26009257002797,5.5521402888387
2012-08-14,33.96,33.783,32.8684,30.4379,33.7694,33.5094,0.260094,0.274563,5.26987509442027,5.563040373559
2012-08-13,33.96,33.746,32.7864,30.4004,33.7348,33.4733,0.261421,0.27818,6.02451485020804,6.41073024587772
2012-08-10,33.83,33.724,32.7064,30.3566,33.6938,33.4344,0.259323,0.28237,8.16201170856671,8.88740254486614
2012-08-09,33.82,33.734,32.6666,30.3125,33.669,33.4028,0.266182,0.288132,7.61818301988215,8.24640959543122
2012-08-08,33.82,33.708,32.62,30.2731,33.6415,33.3694,0.272194,0.29362,7.29709256951643,7.87148188959273
2012-08-07,33.74,33.621,32.5844,30.2327,33.6091,33.3333,0.275768,0.298976,7.76240359570453,8.41566118188986
2012-08-06,33.78,33.548,32.5426,30.19,33.5853,33.3008,0.284466,0.304778,6.66459495594502,7.14047895629668
2012-08-03,34.12,33.492,32.499,30.1443,33.5499,33.2625,0.287361,0.309856,7.25983882542056,7.82814989048188
2012-08-02,33.12,33.439,32.4472,30.1001,33.4462,33.1939,0.252304,0.31548,20.025332163459,25.0395940429392
2012-08-01,33.68,33.52,32.414,,33.5055,33.1998,0.30571,0.331274,7.71692427052125,8.36223132954829
2012-07-31,33.59,33.526,32.3644,,33.4738,33.1614,0.312435,0.337665,7.47174969709123,8.07510103415015
2012-07-30,33.74,33.557,32.3074,,33.4527,33.1271,0.325603,0.343972,5.34006112403132,5.64131055591354
2012-07-27,33.93,33.563,32.2574,,33.4005,33.0781,0.322422,0.348564,7.4998029216165,8.10787777593734
2012-07-26,33.56,33.539,32.214,,33.3042,33.0099,0.2943,0.355099,17.1217287030833,20.6588873478593
2012-07-25,32.95,33.447,32.1834,,33.2577,32.9659,0.291733,0.370299,21.2170505938503,26.9310183913908
2012-07-24,33.01,33.457,32.1684,,33.3136,32.9672,0.346375,0.389941,11.1724911697168,12.57773781663
2012-07-23,33.22,33.432,32.17,,33.3688,32.9638,0.405045,0.400832,-1.05090099799274,-1.03997192267847
2012-07-20,33.59,33.414,32.165,,33.3959,32.9433,0.45256,0.399779,-13.202593876236,-11.6628015526484
2012-07-19,33.93,33.339,32.1416,,33.3606,32.8916,0.469048,0.386584,-21.3313354313001,-17.5810604535695
2012-07-18,33.74,33.238,32.1218,,33.2571,32.8085,0.448582,0.365968,-22.5738856022975,-18.4165538127269
2012-07-17,33.9,33.19,32.1126,,33.1693,32.734,0.435364,0.345315,-26.0772142224961,-20.6835266652355
2012-07-16,33.8,33.133,32.091,,33.0365,32.6407,0.395775,0.322803,-22.6056922462332,-18.437718373494
2012-07-13,33.69,33.075,32.0784,,32.8977,32.548,0.349701,0.30456,-14.8216054942856,-12.9083768080766
2012-07-12,32.64,32.933,32.0716,,32.7536,32.4566,0.296982,0.293275,-1.26400959121783,-1.24823182127627
2012-07-11,33.05,32.921,32.0918,,32.7742,32.4419,0.332386,0.292348,-13.6951665131603,-12.0455133961874
2012-07-10,32.76,32.828,32.0906,,32.7241,32.3932,0.330883,0.282339,-17.1935220834466,-14.6710515886741
2012-07-09,33.04,32.753,32.102,,32.7176,32.3639,0.353729,0.270203,-30.9125963230554,-23.6131565573505
2012-07-06,32.84,32.709,32.1092,,32.659,32.3098,0.349194,0.249321,-40.0577097446918,-28.6008601866418
2012-07-05,32.92,32.638,32.1108,,32.6261,32.2674,0.358723,0.224353,-59.8923701624756,-37.4579287939853
2012-07-03,33.26,32.606,32.1052,,32.5727,32.2152,0.357487,0.19076,-87.4015060375312,-46.6386358816279
2012-07-02,33.33,32.555,32.0854,,32.4477,32.1316,0.316143,0.149078,-112.065228049585,-52.84469739819
2012-06-29,33.22,32.447,32.0702,,32.2873,32.0357,0.251545,0.107312,-134.404278150904,-57.3386625923174
2012-06-28,32.27,32.349,32.0596,,32.1177,31.941,0.176672,0.0712543,-147.945641350484,-59.668579187224
2012-06-27,32.52,32.304,32.077,,32.09,31.9147,0.175262,0.0448999,-290.340246566545,-74.3813247853365
2012-06-26,32.12,32.19,32.0916,,32.0118,31.8663,0.145479,0.0123094,-1081.85450110985,-91.5387215680024
2012-06-25,32.01,32.088,32.1036,,31.9921,31.846,0.146128,-0.020983,796.408616139781,-114.359385809197
2012-06-22,32.6,31.966,32.1118,,31.9889,31.8329,0.156036,-0.0627608,348.620757936144,-140.221902961813
2012-06-21,32.13,31.829,32.1314,,31.8778,31.7715,0.106281,-0.11746,190.483113203795,-210.517859586429
2012-06-20,32.6,31.714,32.1526,,31.8319,31.7428,0.0891685,-0.173395,151.425069102437,-294.457687165775
2012-06-19,32.75,31.531,32.1506,,31.6923,31.6742,0.0181427,-0.239036,107.589936372343,-1417.53410166106
2012-06-18,32.25,31.288,32.1554,,31.5,31.5881,-0.0881786,-0.303331,70.9298899391507,243.995945631719
