price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-09-28,29.28,29.948,29.1692,30.9272,-0.0847206,0.0581942,-0.142914813011885,-0.489384,-0.229996,-0.259387820959091
2012-09-27,28.49,30.059,29.229,30.9281,-0.0907974,0.0939229,-0.18472034484148,-0.665676,-0.100302,-0.56537439674139
2012-09-26,27.54,30.158,29.3022,30.9377,-0.0168152,0.140103,-0.156917750835419,-0.577593,0.182385,-0.75997756421566
2012-09-25,27.66,30.232,29.4184,30.9552,0.174639,0.179332,-0.00469304621219635,-0.00153732,0.562373,-0.563909828662872
2012-09-24,30.66,30.246,29.5844,30.9713,0.404137,0.180505,0.223631665110588,0.860388,0.844327,0.0160611271858215
2012-09-21,30.02,29.917,29.6562,30.989,0.385757,0.124597,0.261159963905811,0.880489,0.836296,0.0441930294036865
2012-09-20,30.9,29.85,29.7098,31.0133,0.421902,0.0593076,0.362594101577997,1.16887,0.8142,0.354665398597717
2012-09-19,31.05,29.615,29.722,31.0308,0.372299,-0.031341,0.403640195727348,1.20431,0.636865,0.567440569400787
2012-09-18,31.34,29.304,29.7264,31.0421,0.288242,-0.132251,0.420493140816689,1.159,0.353143,0.80585503578186
2012-09-17,32.54,28.984,29.7294,31.0484,0.147318,-0.237374,0.384691879153252,0.924965,-0.0497842,0.974749058485031
2012-09-14,30.39,28.582,29.6984,31.0494,-0.156898,-0.333547,0.176648288965225,-0.00324059,-0.537158,0.533917903900146
2012-09-13,29.48,28.384,29.7152,31.0562,-0.323984,-0.377709,0.0537246465682983,-0.528856,-0.804117,0.275260508060455
2012-09-12,28.28,28.277,29.7388,31.0716,-0.439924,-0.39114,-0.0487842261791229,-0.94664,-0.941747,-0.00489270687103271
2012-09-11,27.8,28.318,29.7812,31.0885,-0.459232,-0.378944,-0.0802883207798004,-1.05299,-0.939301,-0.11369252204895
2012-09-10,27.37,28.37,29.851,31.1068,-0.42837,-0.358872,-0.0694979131221771,-0.979126,-0.882457,-0.0966693758964539
2012-09-07,29.35,28.583,29.9318,31.1303,-0.338997,-0.341497,0.00250011682510376,-0.643394,-0.834122,0.190727651119232
2012-09-06,28.55,28.721,29.984,31.1423,-0.421562,-0.342122,-0.0794402062892914,-0.964767,-0.929486,-0.035281777381897
2012-09-05,27.94,28.861,30.0452,31.1625,-0.439426,-0.322262,-0.117164433002472,-1.09398,-0.911845,-0.182131707668304
2012-09-04,28.14,28.978,30.1486,31.1912,-0.393724,-0.292971,-0.100753247737885,-0.997766,-0.820778,-0.17698860168457
2012-08-31,28.52,29.115,30.2616,31.2253,-0.350094,-0.267783,-0.0823110342025757,-0.903839,-0.732284,-0.171555519104004
